show_id,listed_in,Comedy,Stand Up,Crime,Drama,Thriller,Action,Horror,Fantasy,Family,Kids,Cooking & Food,Documentaries,Lifestyle & Culture,Music,News,Reality,Sports,History,Teen,Black Stories,Romance,Mystery,Latino,Adventure,Anime,Late Night,Sketch Comedy,Classics,LGBTQ+,Adult Animation,Sitcom,Health & Wellness,International,Game Shows,Cartoons,Science & Technology
h-s93,"Adventure, Drama, History",,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
h-s94,"Action, Crime, Drama",,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s95,Horror,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s96,"Drama, Horror, Science Fiction",,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s97,"Action, Adventure, Classics",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
h-s99,"Action, Adventure, Classics",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
h-s100,"Action, Adventure, Comedy",1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s101,"Adventure, Comedy, Family",1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s102,Thriller,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s104,"Action, Adventure",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s105,"Black Stories, Drama, LGBTQ+",,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
h-s106,"Action, Adventure, Science Fiction",,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s108,"Horror, Thriller",,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s109,"Action, Adventure, Crime",,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s110,"Comedy, Romance",1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s111,"Comedy, Romance",1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s112,Horror,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s113,"Comedy, Drama, Romance",1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s114,"Action, Adventure",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s115,"Action, Adventure, Horror",,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s116,"Comedy, Teen",1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
h-s117,Sports,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
h-s119,"Comedy, Romance",1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
h-s120,"Action, Adventure, Comedy",1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s121,"Horror, Science Fiction, Thriller",,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s122,"Action, Adventure, Horror",,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s123,"Action, Adventure, Drama",,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s124,"Science Fiction, Thriller",,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-s125,"Action, Adventure, Classics",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
h-s126,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s127,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s128,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s129,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s130,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s131,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s132,"Action, Adventure, Family",,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
h-s133,"Action, Adventure, Science Fiction",,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
